Symbol,Name,Sector,Industry
A,Agilent Technologies Inc. Common Stock,Industrials,Electrical Products
AAP,Advance Auto Parts Inc.,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing
ABB,ABB Ltd Common Stock,Energy,Electrical Products
ABBV,AbbVie Inc. Common Stock,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,Health Care,Other Pharmaceuticals
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Consumer Staples,Beverages (Production/Distribution)
ABMD,ABIOMED Inc. Common Stock,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary,Hotels/Resorts
ABT,Abbott Laboratories Common Stock,Health Care,Medical/Dental Instruments
ACGL,Arch Capital Group Ltd. Common Stock,Finance,Property-Casualty Insurers
ACI,Albertsons Companies Inc. Class A Common Stock,Consumer Staples,Food Chains
ACM,AECOM Common Stock,Consumer Discretionary,Military/Government/Technical
ACN,Accenture plc Class A Ordinary Shares (Ireland),Consumer Discretionary,Business Services
ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors
ADM,Archer-Daniels-Midland Company Common Stock,,
ADP,Automatic Data Processing Inc. Common Stock,Consumer Discretionary,Business Services
ADSK,Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software
AEE,Ameren Corporation Common Stock,Utilities,Power Generation
AEM,Agnico Eagle Mines Limited Common Stock,,
AEP,American Electric Power Company Inc. Common Stock,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,Consumer Discretionary,Diversified Commercial Services
AES,The AES Corporation Common Stock,Utilities,Electric Utilities: Central
AFG,American Financial Group Inc. Common Stock,Finance,Property-Casualty Insurers
AFL,AFLAC Incorporated Common Stock,Finance,Accident &Health Insurance
AGL,agilon health inc. Common Stock,Health Care,Managed Health Care
AGR,Avangrid Inc. Common Stock,Utilities,Electric Utilities: Central
AIG,American International Group Inc. New Common Stock,Finance,Life Insurance
AJG,Arthur J. Gallagher & Co. Common Stock,Finance,Specialty Insurers
AKAM,Akamai Technologies Inc. Common Stock,Consumer Discretionary,Business Services
ALB,Albemarle Corporation Common Stock,Industrials,Industrial Specialties
ALC,Alcon Inc. Ordinary Shares,Health Care,Ophthalmic Goods
ALGN,Align Technology Inc. Common Stock,Health Care,Industrial Specialties
ALL,Allstate Corporation (The) Common Stock,Finance,Property-Casualty Insurers
ALLY,Ally Financial Inc. Common Stock,Finance,Diversified Financial Services
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors
AMCR,Amcor plc Ordinary Shares,Consumer Discretionary,Miscellaneous manufacturing industries
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors
AME,AMETEK Inc.,Consumer Discretionary,Metal Fabrications
AMGN,Amgen Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,Telecommunications,Telecommunications Equipment
AMP,Ameriprise Financial Inc. Common Stock,Finance,Investment Managers
AMT,American Tower Corporation (REIT) Common Stock,Finance,Trusts Except Educational Religious and Charitable
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,Telecommunications,Telecommunications Equipment
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
ANET,Arista Networks Inc. Common Stock,Technology,Computer peripheral equipment
ANSS,ANSYS Inc. Common Stock,Technology,Computer Software: Prepackaged Software
AON,Aon plc Class A Ordinary Shares (Ireland),Finance,Specialty Insurers
APA,APA Corporation Common Stock,Energy,Oil & Gas Production
APD,Air Products and Chemicals Inc. Common Stock,Industrials,Specialty Chemicals
APH,Amphenol Corporation Common Stock,Technology,Electrical Products
APO,Apollo Global Management Inc. (New) Common Stock,Finance,Investment Managers
APP,Applovin Corporation Class A Common Stock,Technology,EDP Services
APTV,Aptiv PLC Ordinary Shares,Consumer Discretionary,Auto Parts:O.E.M.
AR,Antero Resources Corporation Common Stock,Energy,Oil & Gas Production
ARE,Alexandria Real Estate Equities Inc. Common Stock,Real Estate,Real Estate Investment Trusts
ARES,Ares Management Corporation Class A Common Stock,Finance,Investment Managers
ARGX,argenx SE American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASML,ASML Holding N.V. New York Registry Shares,Technology,Industrial Machinery/Components
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,Technology,Semiconductors
